2020-02-08 19:59:49,532 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fnew-faculty-spotlight-statistics-professor-bin-nan-welcomes-collaboration%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:50,087 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/new-faculty-spotlight-statistics-professor-bin-nan-welcomes-collaboration/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:50,639 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Falexandra-peterson-named-outstanding-ta-in-statistics%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:51,186 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Falexandra-peterson-named-outstanding-ta-in-statistics%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:51,740 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/alexandra-peterson-named-outstanding-ta-in-statistics/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:52,292 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fzhu-wins-2017-newcomb-graduate-award-in-statistics%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:52,841 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fzhu-wins-2017-newcomb-graduate-award-in-statistics%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:53,391 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/zhu-wins-2017-newcomb-graduate-award-in-statistics/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:53,943 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fuci-well-represented-at-women-in-statistics-data-science-conference%2F&format=xml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:54,490 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stat.uci.edu%2Fuci-well-represented-at-women-in-statistics-data-science-conference%2F, status <200>, using cache ('styx.ics.uci.edu', 9014).
2020-02-08 19:59:55,036 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-well-represented-at-women-in-statistics-data-science-conference/feed, status <200>, using cache ('styx.ics.uci.edu', 9014).
